SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
2138.00	alter	AURLT	ARLT				"If you listen to your music on too high of a volume, you risk permanently alter-ing your AURL (aural) capabilities. For instance, you may no longer be able to hear your T (tea) kettle whistle."	2291				1 - NGSL	2001-3K	2100	8F2	4.000		5		5
2139.00	perceive	SPAOEF	PAEP			A nurse PAEPs (peeps) into an ACCIDENT & EMERGENCY DEPARTMENT (AE) ward to perceive how the patients there are doing.	You perceive that the college president SPAOEF-d (is peeved) at you. Why? You were riding down the street in a grocery cart and rear-ended his Mercedes.	2292				1 - NGSL	2001-3K	2101	8F3	4.000		6		8
2140.00	routine	RAOU/TAOEPB	TAOEB	"I also added in TAOEBL for ""routinely."""		An office worker tired of the daily routine wishes that he was hitting golf balls off the TAOE (tee) in BRAZIL (-B).	"Imagine a TAOEPB (teen) who RAOU-s (rues) the everyday, plain, unchanging routines of her parents."	2293				1 - NGSL	2001-3K	2102	8F4	5.000		10	2	7
2141.00	sink	S*EUPBG	SAEUR	"SAEUR overwrites ""sayer,"" for which I added in SA*EUR, which overwrites one way to write ""Zaire."" I also added in SAEURD for ""sank"" and SA*EURD for ""sunk."""		Someone who tells you not to board a sinking ship is likely a SAEUR (sayer) of reason.		2294				1 - NGSL	2001-3K	2103	8F5	5.000		7		4
2142.00	transaction	TRABGS	TAUPB	"I also added in TA*UPB for ""transact"" and TA*UPBL for ""transactional."""		"A Portuguese teacher TAUP-s (teaches) her students how to carry out transactions in BRAZIL (-B). (TAUP is an addition for ""teach."")"	A shady transaction takes place on the railroad TRAKS (tracks) in order to avoid the watch of the authorities.	2295				3 - NAWL	2001-3K		8F6	5.000		6		11
2143.00	stare	STAER				"A person STAERs (stares) down death in the ACCIDENT & EMERGENCY DEPARTMENT (AE), but then lives to tell her friends about it."		2296				1 - NGSL	2001-3K	2104	8F7	5.000		5		5
2144.00	anymore	TPHEUPL	AFB		"To write the original outlines for words like ""anybody,"" ""anywhere,"" ""anything,"" and ""anymore,"" you write NEU plus a letter to represent the second syllable--forming NEUB, NEUR, NEUG, and NEUM, respectively."	"An old pilot says to you: ""I was a big deal on an AFB (Air Force Base), but not anymore. Now I'm just a cog in a corporate machine."""	TPHEUPL (NIMH--National Institute of Mental Health) is an agency that tries to make sure that people don't have to experience their mental illness anymore.	2297				1 - NGSL	2001-3K	2105	8F8	3.000		7		7
2145.00	hero	HOEUR				A hero H(ea)R-s (hears) the cries of people trapped by an OIL (OEU) fire and rescues them.		2298				1 - NGSL	2001-3K	2106	8F9	5.000		5		4
2146.00	supporter	SPOR/*ER	SPO*R	"SPO*R is based on SPOR for ""support."""		"Being a supporter of PORCUPINES (*) means SPOR-ing (support-ing) anti-roadkill measures. (SPOR is an outline for ""support."")"		2299				1 - NGSL	2001-3K	2107	8FA	5.000		7	2	9
2147.00	convert	KWERT	KERG	"I also added in K*ERG for ""converting"" and KERGS (which overwrites ""conversion,"" for which I added in KERGT) for ""converts."""		A hunter converts away from poaching and decides to be more KERG (caring) towards ELEPHANTS (E).	"You still type on a KWERT (Qwerty) keyboard? Maybe you should convert your layout to Colemak, Dvorak, or--of course--Plover!"	2300				1 - NGSL	2001-3K	2108	8FB	4.000		5		7
2148.00	steady	STAED	ST-FP	"I also added in ST-FPT for ""steadiest."""		"An improperly loaded pickup truck drops a steady stream of PINEAPPLES (-P) on the ST-F (street). (ST-F is an addition for ""street."")"	"If you're being operated on in the ACCIDENT AND EMERGENCY DEPARTMENT (AE), you'll surely want a surgeon with a steady hand."	2301				1 - NGSL	2001-3K	2109	8FC	4.000		5		6
2149.00	meter	PHAOERT	PHERT	"PHERT overwrites ""merit,"" for which I added in PHERP. I also added in PHERTS for ""meters."""		"""Our country MERT-s (merits) a change from the foot to the meter!"" shouts an activist on Capitol Hill."		2302				1 - NGSL	2001-3K	2110	8FD	5.000		7		5
2150.00	truck	TRUBG						2303				1 - NGSL	2001-3K	2111	8FE	5.000		5		5
2151.00	nose	TPHOES	TPHOZ	"I also added in TPHOSZ for ""noses."""		99% of American NOZ-s (noses) know what PIZZA (-Z) smells like.		2304				1 - NGSL	2001-3K	2112	8FF	5.000		6		4
2152.00	beside	SPWAOEUD	PW-D	"PW-D is similar to PW-DZ for ""besides."""		It would be great to sit beside a beach for your BD (birthday) party.		2305				1 - NGSL	2001-3K	2113	900	3.000		8		6
2153.00	sail	SAEUL		"I also added in SAEURL for ""sailor."""				2306				1 - NGSL	2001-3K	2114	901	5.000		5		4
2154.00	disaster	STKAS/TER	TKAFR			"Daffy Duck is very daffy, but if a duck were found to be DAFR ('daffer,') it could be a disaster for Disney."		2307				1 - NGSL	2001-3K	2115	902	5.000		8	2	8
2155.00	pace	PAEUS	PAERP	"Using PAERP makes it easier to write ""paces"" and ""paced."" I also added in PA*ERP for ""pacer."""		PAER (pear) growers wonder how they'll be able to keep pace with white-hot PINEAPPLE (-P) sales.	"To keep up with CANADA's (AEU) hockey team, you'll need to skate at a very fast pace."	2308				1 - NGSL	2001-3K	2116	903	5.000		5		4
2156.00	heavily	HEFL	H*EFL	"I swapped HEFL and H*EFL so that H*EFL maps to ""heavily"" and HEFL maps to ""helpful."""			"If a guy doesn't just eat until HEFL (he full), but eats until he's stuffed, he'll weigh more heavily on the scale over time."	2309				1 - NGSL	2001-3K	2117	904	5.000		4		7
2157.00	devote	TKWOET	TKWOE	"TKWOE overwrites ""duo,"" for which I added in TKWO*E. I also added in TKWOET for ""devotion,"" which overwrites the original outline for ""devote,"" and TKWOEL for ""devotedly."""		Your pet WALRUS (W-) has become very devoted to eating cookie DOE (dough).		2310				1 - NGSL	2001-3K	2118	905	5.000		6		6
2158.00	terrorist	TER/REUFT	TRORT					2311				1 - NGSL	2001-3K	2119	906	5.000		8	2	9
2159.00	justify	SKWR*UF	SKWR-F	"SKWR-F is based on the addition of SKWR- for ""just."" I also added in SKWR-FS for ""justifies,"" which overwrites JS, for which I added in SKWR-Z."		"Emotions of sadness may be justified if someone's crush says that he/she wants to be JF-s (Just Friends). (Note that J is an addition for ""just."")"	A baseball STAR (*) justifies leaving UF (the University of Florida) by announcing he has won a contract with the Toronto Blue Js (Jays).	2312				1 - NGSL	2001-3K	2120	907	5.000		7		7
2160.00	vital	SRAO*EULT	SRELT	"SRELT overwrites ""svelte,"" for which I added in SW*ELT. I also added in SR*ELT for ""vitally."""		"It's vital for our national security that we continue to SREL (develop) new types of TACOS (-T). (SREL is an addition for ""develop."")"	There's an ongoing debate as to whether doing medical research on PORCUPINES (*) and other animals to find vital cures VAOEULTs (violates) principles of medical ethics.	2313				1 - NGSL	2001-3K	2121	908	5.000		9		5
2161.00	fascinate	TPAS/TPHAEUT	STPE	"STPE overwrites one way to write {^e}. I also added in STPET for ""fascination"" and both STPEL and STPELD for ""fascinatedly."""		"Being a FE (father) can fascinate someone even more than can riding on the SPACE SHUTTLE (S-). (FE is an addition for ""father."")"		2314				1 - NGSL	2001-3K	2122	909	4.000		11	2	9
2161.01	fascinating	TPAS/TPHAEUG	STPEG	"STPEG is based on the addition of STPE for ""fascinate."""				2315				5 - Derivative of NGSL Root Word	2001-3K	2161.01	90A	5.000		11	2	11
2162.00	external	KPERPBL	STARL	"I also added in STA*RL for ""externally""; STARLZ for ""externalize""; STARLGZ for ""externalizing""; and STARLDZ for ""externalized."""		Having a ROLLER COASTER (-R) that STAL-s (stalls) all the time won't give an amusement park a positive external appearance.		2316				1 - NGSL	2001-3K	2123	90B	5.000		7		8
2163.00	spare	SPAEUR	SPAER	"SPAER overwrites ""subsidiary,"" for which I added in SPA*R. I also added in both SPAERL and SPAERLG for ""sparingly."""		"A man being admitted to the ACCIDENT & EMERGENCY DEPARTMENT (AE) tells his doctors: ""spare no expense to save my life!"""		2317				1 - NGSL	2001-3K	2124	90C	5.000		6		5
2164.00	whenever	WH-FR		"WH-FR corresponds nicely with the addition of WH- for ""when."""				2318				1 - NGSL	2001-3K	2125	90D	4.000		4		8
2165.00	depression	TKPREGS	PR-PT or P-RPT	"These additions are based on the additions of PR-P and P-RP for ""depress."""				2319				1 - NGSL	2001-3K	2126	90E	4.000		7		10
2166.00	guilty	TKPW-LT	O*LT	"O*LT is based on the addition of OLT for ""guilt."""			"If you were found to be G.L.T. of a crime, it's harder (but not impossible) to find a J.O.B."	2320				1 - NGSL	2001-3K	2127	90F	4.000		6		6
2167.00	underlie	UPBD/HRAOEU	TKRUL or TKURL	"TKURL overwrites ""dural,"" for which I added in TKAO*URL. I also added in both TKRULD and TKURLD for ""underlay."""		"The underlying problem with a theme park is that its ROLLER COASTERS (-R) are simply DUL (dull). (This story works for TKURL, but remember that TKRUL also works.)"		2321				1 - NGSL	2001-3K	2128	910	5.000		10	2	8
2168.00	mom	PHOPL		Note that PHO*PL is Mom.				2322				1 - NGSL	2001-3K	2129	911	5.000		5		3
2169.00	distinction	TKWEUPBGS	STKUT	"STKUT is based on the addition of STKU for ""distinct."""			DWINGS (the wings) you get as a pilot are a distinction that show that you know how to fly a plane.	2323				1 - NGSL	2001-3K	2130	912	5.000		9		11
2170.00	satisfaction	SAEFGS	SAEFT	"SAEFT (which overwrites ""safety,"" for which I use S-FT) is based on SAEF for ""satisfy."""				2324				1 - NGSL	2001-3K	2131	913	5.000		6		12
2171.00	incorporate	TPHORPT	KO*RP	"KO*RP is based on the addition of KORP for ""corporate."" It overwrites ""Corp.,"" for which I added in KO*ERP. I also added in KO*RPT for ""incorporation"" and KO*RPS (which overwrites one way to write ""corps"") for ""incorporates."""			"If you want to incorporate a company, you won't be able to do that half-time NORPT (nor PT (part-time)). That's a full-time job and then some!"	2325				1 - NGSL	2001-3K	2132	914	5.000		7		11
2172.00	pour	POR		"It's tempting to use POUR, but that maps to ""power."""		"You have to periodically pour fresh water into your pet OCTOPUS's (O) tank (and remove the dirty water, of course) to keep it happy."		2326				1 - NGSL	2001-3K	2133	915	3.000		3		4
2173.00	sweep	SWAOEP	SWAEP	"I also added in both SWAEPT and SWAEPD for ""swept"" (although SWEPT also works, of course)."		A man who had been poisoned visits the ACCIDENT & EMERGENCY DEPARTMENT (AE) so that the doctors can SWAEP (sweep) the poison out of him.		2327				1 - NGSL	2001-3K	2134	916	5.000		6		5
2174.00	disadvantage	TKEUS/SRAPBG	AO*PB	"AO*PB is based on the addition of AOPB for ""advantage."" I also added in AO*PBT for ""disadvantageous."""				2328				3 - NAWL	2001-3K		917	5.000		11	2	12
2175.00	obligation	TKPWHRAEUGS	OEUBT	"OEUBT is based on the addition of OEUB for ""oblige."""				2329				1 - NGSL	2001-3K	2135	918	5.000		11		10
2176.00	sir	SEUR						2330				1 - NGSL	2001-3K	2136	919	4.000		4		3
2177.00	dynamic	TKPHAOEUBG	TKAPB	"TKAPB overwrites one way to write ""Dan."" I also added in TKAPBS (which overwrites ""dance,"" for which I added in TK-FF) for ""dynamics"" and TKA*PBL for ""dynamically."""		"DAN-delions (dandelions) are a pretty dynamic flower, given how their appearance changes from yellow to white."	Anyone who manufactures a PHAOEUBG (mic) needs to pay careful attention to sound dynamics. 	2331				3 - NAWL	2001-3K		91A	5.000		10		7
2178.00	evaluate	*EFLT	SRAL	"SRAL overwrites ""val,"" for which I added in SRAOL. I also added in SRA*LD (which overwrites one way to write ""valid"") for ""evaluated"" and SRA*L for ""reevaluate."""		Investigators evaluate what went wrong in the Exxon VAL-dez (Valdez) disaster.	You decide to pet a PORCUPINE (*) to evaluate whether his body feels like FLT (felt). It turns out it doesn't! E! (Eeeee!)	2332				1 - NGSL	2001-3K	2137	91B	4.000		5		8
2179.00	anger	ARPBG	AOFP		ARPBG is just a simple inversion in which the R comes before the NG in the outline.	AOF (oof) is all you can say when anger leads your friend to throw a PINEAPPLE (-P) at the wall.		2333				1 - NGSL	2001-3K	2138	91C	4.000		5		5
2180.00	pub	PUB						2334				1 - NGSL	2001-3K	2139	91D	3.000		3		3
2181.00	perception	PERPGS	PAEPT	"PAEPT is based on the addition of PAEP for ""perceive."""			"Because of his disheveled appearance and nervous laugh, people had the perception that he was a PERP-etrator of past crimes."	2335				1 - NGSL	2001-3K	2140	91E	5.000		6		10
2182.00	naturally	TPHRARL	A*URL	"A*URL is based on the addition of AURL for ""natural."""	"With regard to TPHRARL: To go from NARL (the original outline for ""natural"") to ""naturally,"" we need to add an L. We can't add an L on the right, so we add it on the left, by putting in an R that gives us HL."			2336				1 - NGSL	2001-3K	2141	91F	5.000		7		9
2183.00	currency	KURPB/SEU	K*ER	"K*ER is based on the addition of KER for ""current."""		"A man's KER (current) financial situation is bleak because a PORCUPINE (*) chewed through all his currency. (KER is an addition for ""current."")"		2337				1 - NGSL	2001-3K	2142	920	4.000		8	2	8
2184.00	behalf	PWAF		BAF		"If your little brother came into your room and said to you, ""I am here on behalf of the president,"" you would probably be a little BAF-fled (baffled)!"		2338				4- Not in a list	2001-3K		921	4.000		4		6
2185.00	database	TKAEUBS	TKABS	"TKABS overwrites ""dabs,"" for which I use TKA*BS, since I added in TKA*B for ""dab."""		A systems engineer DABS (dabs) copper shavings on a database to keep it running cool.	It takes you an entire DAEU (day) to repair your office's  computer database after someone mistakenly put it in the recycle bin.	2339				1 - NGSL	2001-3K	2143	922	5.000		7		8
2186.00	initially	TPHEURB/HREU	*EURL	"*EURL is based on the addition of EURL for ""initial."" It overwrites ""in real life,"" for which I added in TPHAOEUF, which overwrites ""knife,"" for which I added in TPHUP."			"Initially, you might pursue a TPHEURB (niche) interest in college, like Aboriginal pottery, but then you may switch to something that gives you better job prospects. It's the classic question of whether to follow your passion or to do something ""sensible."") (TPHEURBL is an outline for ""initial."""	2340				1 - NGSL	2001-3K	2144	923	5.000		11	2	9
2187.00	territory	TERT				"When people moved into a new territory, they probably encountered new fruits and berries that they could bake into TERT-s (tarts), and they may have even found fascinating new creatures like ELEPHANTS (E)."		2341				1 - NGSL	2001-3K	2145	924	4.000		4		9
2188.00	stream	STRAOEPL	STR-PL or ST-RPL					2342				1 - NGSL	2001-3K	2146	925	5.000		8		6
2189.00	rarely	RAERL				Rarely are things peaceful in the ACCIDENT AND EMERGENCY ROOM (AE).		2343				1 - NGSL	2001-3K	2147	926	5.000		5		6
2190.00	height	HAOEUT	HEUBT	"HEUBT is based on the addition of HEUB for ""high."""				2344				1 - NGSL	2001-3K	2148	927	5.000		6		6
2191.00	apparent	A/PARPBT	AERT			"It's apparent that, given the right tools, ELEPHANTS (E) can create ART (art)."		2345				1 - NGSL	2001-3K	2149	928	4.000		7	2	8
2192.00	western	WES/TERPB	WERPB	"I also added in SW*RL and SWR*L for ""Western."""		"WERPB overwrites ""Western,"" for which I use W*ERPB."		2346				1 - NGSL	2001-3K	2150	929	5.000		8	2	7
2193.00	expansion	EBGS/PAPBGS	SPAFT	"SPAFT (which overwrites ""subchapter,"" for which I added in both SPA*FT and SKA*FT) is based on the addition of SPAF for ""expand."""				2347				1 - NGSL	2001-3K	2151	92A	5.000		10		9
2194.00	constantly	SKA*PBLT	STOBL				"You decide to SKAN (scan) every piece of paper in your house so that you can go fully paperless. You scan constantly for a LT (long time), about 73 hours. You start to see STARS (*) due to sleep deprivation--but ultimately you succeed!"	2348				1 - NGSL	2001-3K	2152	92B	5.000		8		10
2195.00	muscle	PH*UL	PHOUL	"I also added in PHOULD (which overwrites ""mould,"" for which I added in PHO*ULD) for ""muscled"" and PHOURL for ""muscular."""		"A man claiming to be a doctor tells you on TV that his $5,000 ""InstaSwol"" machine can make your muscles stronger by MOU-ing (mixing) different LASER (-L) frequencies together. (PHOU is an addition for ""mix."")"	"Some people MUL over whether it's wrong to eat PORCUPINE (*)--the little guys are so cute. But other people go right ahead, knowing that their meat is great for building up your muscle."	2349				1 - NGSL	2001-3K	2153	92C	5.000		5		6
2196.00	scare	SKAEUR	SKAR	"SKAR overwrites ""scar,"" for which I added in SKA*R. I also added in SKARD for ""scared,"" SKARG for ""scaring,"" and SKARS for ""scares."" "		We're generally scared of things that can give us a SKAR (scar).		2350				1 - NGSL	2001-3K	2154	92D	4.000		6		5
2197.00	badly	PWAD/HREU	PWA*D	"PWA*D is based on PWAD for ""bad."""		"It's BAD (bad) to fire weapons aimlessly into the forest, as a PORCUPINE (*) could get badly hurt."		2351				1 - NGSL	2001-3K	2155	92E	5.000		8	2	5
2198.00	everyday	EFRD	EFD	"EFD is similar to EFB for ""everybody."""				2352				1 - NGSL	2001-3K	2156	92F	3.000		4		8
2199.00	boundary	PWOUPBD/AER	PWREU	"PWREU overwrites one way to write ""bring,"" for which I added in PWRE. I also added in PWREUS for ""boundaries,"" which overwrites one way to write ""brings."""		You enjoy a nice meal of PWREU (brie) on the boundary between France and Switzerland in EUROPE (EU).		2353				1 - NGSL	2001-3K	2157	930	5.000		10	2	8
2200.00	ratio	ROEURB	ROLT			"To your surprise, you find that your friends prefer ROL-d (rolled) Mexican food (e.g. burritos) to folded Mexican food (e.g. TACOS (-T)) by a 5-to-1 ratio."	Undergrads R(u)SH (rush) into OIL (OEU) engineering classes after they learn that it has the highest salary-to-tuition ratio of any college major.	2354				1 - NGSL	2001-3K	2158	931	4.000		6		5
2201.00	essay	SA*E	STAEU	"STAEU overwrites ""stay,"" for which I added in STAE. "		Your essay will receive a lower grade if you fail to STAEU (stay) on topic.	"Imagine opening an essay on nature by writing: ""SAE (say), how do you like PORCUPINES (*)?"""	2355				1 - NGSL	2001-3K	2159	932	5.000		4		5
2202.00	nineteen	TPHAOEUPB/TAOEPB	E9	(Typed as #ET)				2356				2 - Sup	2001-3K		933	3.000		15	2	8
2202.01	nineteenth	TPHAOEPBT	*E9	(Typed as #*ET)				2357				5.2 - Sup (no frequency data)	2001-3K		934	4.000		9		10
2203.00	scream	SKRAOEPL	SKRAF			"A parent with SKRA-g (discriminating) tastes only gives her son all-natural baked sweet potato FRENCH FRIES (-F), even when he screams for greasy fast-food FRENCH FRIES (-F). (SKRA is an addition for ""discriminate."")"		2358				1 - NGSL	2001-3K	2160	935	5.000		8		6
2204.00	withdraw	WRAU		"I also added in WRAUD for ""withdrew."""		"You bite into a tasty-looking chicken sandwich, but then withdraw it from your mouth after discovering it to be completely RAU (raw)."		2359				1 - NGSL	2001-3K	2161	936	4.000		4		8
2205.00	pollution	PHRAOUGS	P*ULT	"P*ULT is based on the addition of PULT (which overwrites a misstroke entry for ""put"") for ""pollute."" I also added in PULGT for ""polluting,"" which overwrites a misstroke entry for ""putting,"" and PULTD for ""polluted."""		"(Story for PULT for ""pollute"": If you bring a PULT (pullet) into your home as a pet, keep in mind that it will periodically ""pollute"" your floors.)"		2360				1 - NGSL	2001-3K	2162	937	5.000		8		9
2206.00	disorder	TKORD		DORD		Imagine someone who TKORD (doored) someone by hitting someone with a door. He may have antisocial personality disorder.		2361				1 - NGSL	2001-3K	2163	938	5.000		5		8
2207.00	furniture	TPURPBT	TPURT	"TPURT overwrites ""further,"" for which I added in TP*R."		Dog FUR (fur) and TACO (-T) grease can both reduce the resale value of furniture.	"What is furniture good for? TPURPBT (Fur and Tea). It gives you a place to drink tea, but also collects all your dog's fur."	2362				1 - NGSL	2001-3K	2164	939	5.000		7		9
2208.00	symbol	SPWOL		SBOL				2363				1 - NGSL	2001-3K	2165	93A	5.000		5		6
2209.00	apartment	ARPLT		ARMT		This Boston apartment is very convenient--it's right by the T. But the door is so stiff that you need the ARM (arm) of a professional wrestler just to open it.		2364				1 - NGSL	2001-3K	2166	93B	5.000		5		9
2210.00	demonstration	TKEPL/STRAEUGS	TRA*	"TRA* is similar to the addition of TRA for ""demonstrate."""		"PORCUPINES (*) TRA (demonstrate) their ferocity during a demonstration against deforestation. (TRA is an addition for ""demonstrate."")"		2365				1 - NGSL	2001-3K	2167	93C	4.000		13	2	13
2211.00	analyst	APBL/EUFT	A*RL	"A*RL is similar to the addition of AL for ""analyze."""		"An analyst uses a PORCUPINE (*) quill to highlight ARL-s (articles) that she reads as part of her work. (ARL is an outline for ""article."" Note that AL is an addition for ""analyze."")"		2366				1 - NGSL	2001-3K	2168	93D	4.000		8	2	7
2212.00	platform	PHRORPL	PHROF	"I also added in PHRO*F for ""platformer,"" which overwrites a command stroke for suspending Plover. I use R-D to toggle Plover, so I don't need a stroke for suspending Plover."		The PING PONG (P-) table is a platform LOF-d (loved) by millions.	"A retired diver says of diving platforms: ""I de-PHRORPL (deplore 'em). I was always afraid that I would hit my head on them during a backflip."""	2367				1 - NGSL	2001-3K	2169	93E	5.000		7		8
2213.00	steel	STAOEL	STAOF	"STAOF overwrites ""state of,"" for which I added in STAO*F, which overwrites ""State of,"" for which I added in STA*EUF, which overwrites one way to write ""stave."""		"An online shopping site TAOF-s (advertises) steel harvested from actual SPACE SHUTTLES (S-). (TAOF is an addition for ""advertise."")"		2368				1 - NGSL	2001-3K	2170	93F	5.000		6		5
2214.00	cake	KAEUBG	KAEPL			A relative with a cake KAEPL (came) to the ACCIDENT & EMERGENCY DEPARTMENT (AE) to celebrate a patient's full recovery.		2369				1 - NGSL	2001-3K	2171	940	5.000		6		4
2215.00	transform	TR-FRPL	TRAO	"I also added in TRAO* for ""transformative."""	"TR-FRPL is TR-FR (the original outline for) ""transfer"" plus M. ""transferm"" does sound a little bit like ""transform."""	"If you have been connecting your feet to your skis with masking tape, try using ski BOOTS (AO) instead. It's TRAO (true) that they will transform your skiing experience."		2370				1 - NGSL	2001-3K	2172	941	4.000		6		9
2216.00	wound	WOUPBD	WOEUP			"A child WOEU-s (enjoys) so much PINEAPPLE (-P) that the acid ends up wounding his tongue. (WOEU is an addition for ""enjoy."")"		2371				1 - NGSL	2001-3K	2173	942	5.000		6		5
2217.00	restriction	REUBGS	RAOGT	"RAOGT is based on the addition of RAOG for ""restrict."" It overwrites ""rooting,"" for which I added in RAO*GT."				2372				1 - NGSL	2001-3K	2174	943	5.000		6		11
2218.00	foundation	TPOUPBGS	TPOUT	"TPOUT, which is similar to the addition of TPOUP for ""found,"" overwrites ""out to,"" for which I added in TO*UT. I also added in TPO*UT for ""Foundation"" and TPOULT for ""foundational."""		"Given the risk of earthquakes in TOKYO (T-), I might POUT (pout) if my apartment building there did not have a solid foundation."		2373				1 - NGSL	2001-3K	2175	944	5.000		8		10
2219.00	designer	STKAOEURB	TKERP	"TKERP is based on the addition of TKEP for ""design."" It overwrites ""derp,"" for which I added in TK*ERP."				2374				1 - NGSL	2001-3K	2176	945	5.000		9		8
2220.00	strain	STRAEUPB	STR-PB or ST-RPB	"STR-PB overwrites ""street sign,"" for which I added in STR*PB."				2375				1 - NGSL	2001-3K	2177	946	5.000		8		6
2221.00	innovation	TPHO*FGS	SRAOT	"SRAOT is based on the addition of SRAO for ""innovate."""		"(Story for SRAO for ""innovate"": a camera company innovates by making a camcorder that can be safely attached to a ski BOOT (AO), thus letting you SRAO (view) your downhill runs from an exciting perspective.)"		2376				1 - NGSL	2001-3K	2178	947	5.000		8		10
2222.00	album	AL/PWUPL	AUFB			A food photographer keeps his album of delicious APPLE (A) pictures on a UFB (USB) drive.	"You can't stop listening to a German EDM album titled BLUM (Which is similar to the word ""flower"" in German)."	2377				1 - NGSL	2001-3K	2179	948	4.000		7	2	5
2223.00	singer	SEURPBG	SO*ER	"SO*ER is based on the addition of SOE for ""sing."" It overwrites ""sorry,"" for which I added in SOR."		"The best singers are also SO*E-Rs (song-ers): individuals who both write and sing songs. (SO*E is an addition for ""song."")"		2378				1 - NGSL	2001-3K	2180	949	5.000		7		6
2224.00	trail	TRAEUL	TREL	"I also added in TRERL for ""trailer."""		It's gratifying to see a trail of vines grow on your TREL-is (trellis).		2379				1 - NGSL	2001-3K	2181	94A	4.000		6		5
2225.00	trap	TRAP						2380				1 - NGSL	2001-3K	2182	94B	4.000		4		4
2226.00	loose	HRAOS		"I also added in HRAOF for ""loosen."""				2381				1 - NGSL	2001-3K	2183	94C	5.000		5		5
2227.00	extension	STEPBGS	STEFT	"STEFT is based on the addition of STEF for ""extend."""			"Getting someone a STEPB-t (stent) can allow for an extension of their lives. (The story shouldn't mislead you into thinking there's a T in this outline, since ""extension"" has only one T."	2382				1 - NGSL	2001-3K	2184	94D	5.000		7		9
2228.00	wealth	W*ELT	WELT	"WELT overwrites ""welt,"" for which I added in WAELT, which overwrites a misstroke entry for ""weight."""		"A person brags: ""I have so much wealth that dropping all my coins on my head would leave quite a WELT (welt)."""		2383				1 - NGSL	2001-3K	2185	94E	4.000		5		6
2229.00	gradually	TKPWRAD/WAEL	WAUBL	"WAUBL is based on the addition of WAUB for ""gradual."""		"(Story for WAUB for ""gradual"": the path to mastering the AUB (job) of WALRUS (W-) trainer is a gradual one. (AUB is an addition for ""job."")"		2384				1 - NGSL	2001-3K	2186	94F	5.000		11	2	9
2230.00	tank	TA*PBG	TARL	"I also added in TA*RL for ""tanker."""		I really don't think it's safe to shine a powerful LASER (-L) at a tank of TAR (tar).		2385				1 - NGSL	2001-3K	2187	950	4.000		6		4
2231.00	strategic	STRAO*EBG	TRA*T	"TRA*T is based on the addition of TRAT for ""strategy."" I also added in both TRA*LT and TRALT for ""strategically."""		"When it comes to getting food, PORCUPINES (*) are not very strategic. They'll use just about any TRAT (strategy) that works. (TRAT is an addition for ""strategy."")"	"(Gross story warning) PORCUPINES (*) need a strategic plan to cross major roadways--otherwise, they could end up as STRAOEBGs (streaks) of roadkill on the highway."	2386				3 - NAWL	2001-3K		951	5.000		9		9
2232.00	evil	AOEFL						2387				1 - NGSL	2001-3K	2188	952	5.000		5		4
2233.00	remarkable	RARBG/-BL	RAUBL	"RAUBL is based on the addition of RAUB for ""remark."""				2388				1 - NGSL	2001-3K	2189	953	5.000		8	2	10
2234.00	tune	TAOUPB	TAOUP	"I also added in TAOURP for ""tuner."""		"Due to negative press coverage of TAOU-pees (toupees), some men change their tune on the hairpiece and do a U-TURN (AOU) away from them."		2389				1 - NGSL	2001-3K	2190	954	5.000		6		4
2235.00	grass	TKPWRAS	KRAZ	"I also added in KRA*Z for ""grasses"" and KRA*EZ for ""grassy."""		"A landscape architect KRA-s (creates) a grass-y area in a ZOO (-Z) where zebras can roam. (KRA is an addition for ""create."")"		2390				1 - NGSL	2001-3K	2191	955	4.000		7		5
